ID,Name,Author,Title,Description,URL,urlToImage,publishedAt,content,Status,TotalResults
business-insider,Business Insider,Jacob Shamsian,Judge thrashes Sam Bankman-Fried for claiming FTX customers didn't lose any money before handing down 25-year sentence,"SBF's legal team claimed FTX customers suffered ""zero"" losses when the crypto exchange collapsed. The judge rejected the argument ""entirely.""",https://www.businessinsider.com/sam-bankman-fried-sentencing-customer-losses-judge-2024-3,https://i.insider.com/6603311a1caec1275a69b963?width=1200&format=jpeg,2024-03-28T17:26:00Z,"Sam Bankman-Fried, the jailed founder of bankrupt cryptocurrency exchange FTX, sits with his lawyers Torrey Young and Marc Mukasey.REUTERS/Jane Rosenberg
<ul><li>Sam Bankman-Fried's lawyers claimed … [+6035 chars]",ok,13537
business-insider,Business Insider,George Glover,Ripple Labs accuses the SEC of trying to 'punish and intimidate' by seeking $2 billion in penalties from XRP developer,"The SEC is trying to ""punish and intimidate"" XRP developer Ripple Labs by seeking penalties worth $2 billion, its chief legal officer claimed.",https://www.businessinsider.com/xrp-price-today-ripple-crypto-bitcoin-sec-gary-gensler-2024-3,https://i.insider.com/6602b4f11caec1275a6959f2?width=1200&format=jpeg,2024-03-26T13:36:01Z,"Ripple Labs is behind the XRP cryptocurrency.Jack Taylor/Getty Images
<ul><li>The SEC is seeking fines and penalties worth $2 billion from Ripple Labs, its legal chief said.</li><li>Stuart Alderoty … [+2324 chars]",ok,13537
business-insider,Business Insider,Jacob Shamsian,FTX's victims may get all their money back. The judge sentencing Sam Bankman-Fried might not care.,"As Sam Bankman-Fried's sentencing date approaches, the judge is being asked to consider billions of dollars in losses and his claimed neurodivergence.",https://www.businessinsider.com/sbf-sentencing-ftx-customers-get-money-back-should-it-matter-2024-3,https://i.insider.com/65fb30c12417f97b87cdd31f?width=1200&format=jpeg,2024-03-24T11:00:02Z,"Sam Bankman-Fried is scheduled to be sentenced on Thursday.Chelsea Jia Feng/Insider
<ul><li>Sam Bankman-Fried bilked FTX customers out of over $8 billion, according to prosecutors.</li><li>FTX bankr… [+10737 chars]",ok,13537
business-insider,Business Insider,Dan DeFrancesco,Meme stocks are back in fashion. Here's how to find one.,"In today's big story, we're breaking down how to identify a meme stock.",https://www.businessinsider.com/meme-stocks-return-how-to-identify-2024-4,https://i.insider.com/660aaee716bde8d4ead3f78f?width=1200&format=jpeg,2024-04-01T13:08:09Z,"The Wall Street bullReuters/herval
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Welcome back!… [+6516 chars]",ok,13537
business-insider,Business Insider,Camilo Fonseca,Millennials fall for investment scams a lot — even more than boomers,"More millennials reported being duped by investment scams than people over 60, according to the FBI.",https://www.businessinsider.com/millennials-investment-crypto-scams-boomers-fraud-fbi-report-2024-3,https://i.insider.com/65ea05376080194819fda8f3?width=1200&format=jpeg,2024-03-08T14:21:27Z,"An FBI report shows that millennials, not the elderly, are most likely to lose money on investment-related frauds or scams.Getty Images
<ul><li>Americans aged 30-49 are most susceptible to investmen… [+3659 chars]",ok,13537
business-insider,Business Insider,Theron Mohamed,"Runaway government debt could sink markets and slam the economy, 2 watchdogs warn","Ballooning government debt and soaring interest payments could trigger a UK-style market meltdown and an economic disaster, fiscal watchdogs warned.",https://www.businessinsider.com/us-national-debt-government-spending-stock-market-financial-crisis-economy-2024-3,https://i.insider.com/6603077616bde8d4ead2547f?width=1200&format=jpeg,2024-03-26T17:36:59Z,"Interest payments are costing the government more.Getty Images
<ul><li>The soaring national debt threatens to cause market chaos and economic pain, two watchdogs warned.</li><li>The US government's … [+3609 chars]",ok,13537
business-insider,Business Insider,Theron Mohamed,Market prophet Gary Shilling warns stocks could crash 30% — and says the odds are 'very much in favor of a recession',"Star forecaster Gary Shilling rang the alarm on stocks and growth, dismissed de-dollarization fears, and predicted the housing market would recover.",https://markets.businessinsider.com/news/stocks/stock-market-forecast-crash-shilling-recession-economy-dollar-housing-debt-2024-3,https://i.insider.com/608948dc3f0560001881c769?width=1200&format=jpeg,2024-03-05T12:18:19Z,"Gary Shilling.Bloomberg
<ul>
<li>Stocks may crash 30% and a recession could hit within months, Gary Shilling said.</li>
<li>The star forecaster said stocks are super pricey and flagged several signs… [+4198 chars]",ok,13537
business-insider,Business Insider,Theron Mohamed,"David Rosenberg, Jeremy Grantham, and 4 other market gurus just rang the alarm on a stock market bubble","The soaring prices of stocks, cryptos, gold, and other assets have sparked bubble warnings from several market gurus.",https://www.businessinsider.com/stock-market-outlook-bubble-crash-rosenberg-grantham-summers-recession-economy-2024-3,https://i.insider.com/65f460401851e792f0f0093d?width=1200&format=jpeg,2024-03-16T10:03:01Z,"Surging asset prices have sparked fresh warnings of market bubbles.Alain Grosclaude/Getty Images
<ul><li>The surging price of stocks, crypto, and gold has sparked fresh warnings of asset bubbles.</l… [+4243 chars]",ok,13537
business-insider,Business Insider,Jacob Shamsian,Sam Bankman-Fried considered going on Tucker Carlson's show and railing 'against the woke agenda' after FTX's collapse,"Sam Bankman-Fried came up with a list of ""random probably bad ideas"" after FTX's bankruptcy. That list, once labeled ""CONFIDENTIAL,"" is now public.",https://www.businessinsider.com/sam-bankman-fried-considered-tucker-carlson-alliance-after-ftx-bankruptcy-2024-3,https://i.insider.com/65f4a9f23037f8e81750f971?width=1200&format=jpeg,2024-03-15T20:31:48Z,"Sam Bankman-Fried.Ed Jones/AFP via Getty Images
<ul><li>Sam Bankman-Fried came up with a list of bad ideas after FTX's bankruptcy</li><li>One of them was going on Tucker Carlson's show and taking an… [+5697 chars]",ok,13537
business-insider,Business Insider,Dan DeFrancesco,Citadel's relocation to Miami was a success. But can Ken Griffin get the rest of Wall Street to do it?,Ken Griffin predicted Miami could eventually eclipse New York as the country's financial hub.,https://www.businessinsider.com/ken-griffin-citadel-miami-headquarters-florida-expansion-wall-street-finance-2024-3,https://i.insider.com/65f42cbf3037f8e81750b0cd?width=1200&format=jpeg,2024-03-15T19:21:06Z,"Heidi Gutman/CNBC/NBCU Photo Bank/NBCUniversal via Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter… [+7136 chars]",ok,13537
business-insider,Business Insider,Dan DeFrancesco,How Fed Chair Jerome Powell's big decision could impact the upcoming presidential election,"They say every vote matters in elections, but the biggest decision in November's presidential race could be made outside the voting booth.",https://www.businessinsider.com/jerome-powell-interest-rate-cuts-decision-us-presidential-election-influence-2024-3,https://i.insider.com/65eee36c90413ab8e1db4ac5?width=1200&format=jpeg,2024-03-11T12:04:04Z,"Federal Reserve Board Chairman Jerome Powell speaks during a news conference after a Federal Open Market Committee meeting on July 26, 2023 at the Federal Reserve in Washington, DC. The Federal Reser… [+7878 chars]",ok,13537
business-insider,Business Insider,Dan DeFrancesco,Big changes could be coming to the way we pay for things,"In today's big story, we're examining how a change in credit cards' behind-the-scenes fees impacts you… and your points.",https://www.businessinsider.com/payments-change-visa-mastercard-settlement-merchants-2024-3,https://i.insider.com/660435da16bde8d4ead2972d?width=1200&format=jpeg,2024-03-27T15:17:48Z,"Dental loans, medical credit cards and provider financing are among the ways to help pay for dental work.KoldoyChris/Getty
<ul><li>This post originally appeared in the Insider Today newsletter.</li>… [+6676 chars]",ok,13537
,ReadWrite,Ali Rees,Why did the Bitcoin price drop?,"Despite reaching record highs of almost $74,000 on Thursday (March 14), the price of Bitcoin (BTC) dropped by 9% early… Continue reading Why did the Bitcoin price drop?
The post Why did the Bitcoin price drop? appeared first on ReadWrite.",https://readwrite.com/why-did-bitcoin-drop/,https://readwrite.com/wp-content/uploads/2024/03/a_chart_showing_bitcoin_rising_a_lot_then_droppi.jpg,2024-03-15T12:38:50Z,"Despite reaching record highs of almost $74,000 on Thursday (March 14), the price of Bitcoin (BTC) dropped by 9% early on Friday (March 15) to $66, 885.
Many cryptocurrency traders will likely sell … [+2274 chars]",ok,13537
,ReadWrite,Radek Zielinski,World’s top pension fund eyes Bitcoin,"Japan’s Government Pension Investment Fund (GPIF) is considering Bitcoin (BTC) as a potential investment diversification tool amidst economic and technological… Continue reading World’s top pension fund eyes Bitcoin
The post World’s top pension fund eyes Bitc…",https://readwrite.com/worlds-top-pension-fund-eyes-bitcoin/,https://readwrite.com/wp-content/uploads/2024/03/Japanese-investors.png,2024-03-19T14:13:51Z,"Japan’s Government Pension Investment Fund (GPIF) is considering Bitcoin (BTC) as a potential investment diversification tool amidst economic and technological changes.
According to a Mar. 19 announ… [+2534 chars]",ok,13537
,ReadWrite,Radek Zielinski,El Salvador gained $84M from Bitcoin holdings,"El Salvador’s Bitcoin (BTC) holdings have yielded an unrealized profit of $84 million, with the treasury’s value increasing by 69%… Continue reading El Salvador gained $84M from Bitcoin holdings
The post El Salvador gained $84M from Bitcoin holdings appeared …",https://readwrite.com/el-salvador-gained-84m-from-bitcoin-holdings/,https://readwrite.com/wp-content/uploads/2024/03/d464b5cf-a07f-47dd-aefa-a09ec69e9d66.webp,2024-03-12T13:23:25Z,"El Salvador’s Bitcoin (BTC) holdings have yielded an unrealized profit of $84 million, with the treasury’s value increasing by 69% to over $206 million due to Bitcoin’s 250% appreciation over the pas… [+1899 chars]",ok,13537
,ReadWrite,Radek Zielinski,"Bitcoin flash crashes to $8,900 on BitMEX","Bitcoin (BTC) experienced a sudden drop to $8,900 on BitMEX, deviating significantly from its stable $60,000+ valuation on other exchanges.… Continue reading Bitcoin flash crashes to $8,900 on BitMEX
The post Bitcoin flash crashes to $8,900 on BitMEX appeared…",https://readwrite.com/bitcoin-flash-crashes-to-8900-on-bitmex/,https://readwrite.com/wp-content/uploads/2024/03/bitcoinflashcrash.jpg,2024-03-19T14:59:18Z,"Bitcoin (BTC) experienced a sudden drop to $8,900 on BitMEX, deviating significantly from its stable $60,000+ valuation on other exchanges.
On a late Monday, Bitcoin experienced a swift downturn, dr… [+2214 chars]",ok,13537
,ReadWrite,Radek Zielinski,Nasdaq’s Bitcoin ETFs break five-day outflow streak with $15.4M boost,"On Monday, Nasdaq-traded spot Bitcoin (BTC) exchange-traded funds (ETFs) witnessed an inflow of $15.4 million, marking a positive shift after… Continue reading Nasdaq’s Bitcoin ETFs break five-day outflow streak with $15.4M boost
The post Nasdaq’s Bitcoin ETF…",https://readwrite.com/nasdaqs-bitcoin-etfs-break-five-day-outflow-streak-with-15-4m-boost/,https://readwrite.com/wp-content/uploads/2024/03/sRVLagdvTLSPSVK2Wb7dBA.png,2024-03-26T14:20:47Z,"On Monday, Nasdaq-traded spot Bitcoin (BTC) exchange-traded funds (ETFs) witnessed an inflow of $15.4 million, marking a positive shift after five consecutive days of outflows, according to prelimina… [+1664 chars]",ok,13537
,ReadWrite,Radek Zielinski,Bitcoin ETF daily inflows breaks $1B,"The United States recently approved spot Bitcoin (BTC) exchange-traded funds (ETFs), which experienced another day of record-breaking inflows on March… Continue reading Bitcoin ETF daily inflows breaks $1B
The post Bitcoin ETF daily inflows breaks $1B appeare…",https://readwrite.com/bitcoin-etf-daily-inflows-breaks-1b/,https://readwrite.com/wp-content/uploads/2024/03/2at7RvbmQ9mXqGyaKKPWug.png,2024-03-13T16:58:49Z,"The United States recently approved spot Bitcoin (BTC) exchange-traded funds (ETFs), which experienced another day of record-breaking inflows on March 12.
Data gathered from BitMEX Research shows th… [+1671 chars]",ok,13537
,ReadWrite,Radek Zielinski,Grayscale’s Bitcoin ETF sees $359m daily outflow,"The Grayscale Bitcoin Trust (GBTC) experienced significant withdrawals, with $359 million leaving the fund on Thursday (Mar 21). Those outflows… Continue reading Grayscale’s Bitcoin ETF sees $359m daily outflow
The post Grayscale’s Bitcoin ETF sees $359m dail…",https://readwrite.com/grayscales-bitcoin-etf-sees-359m-daily-outflow/,https://readwrite.com/wp-content/uploads/2024/03/3-Ndb1f1SiWyzebvNUMprg.jpg,2024-03-22T15:51:17Z,"The Grayscale Bitcoin Trust (GBTC) experienced significant withdrawals, with $359 million leaving the fund on Thursday (Mar 21).
Those outflows come on the heels of a week of heavy withdrawals, culm… [+3589 chars]",ok,13537
,ReadWrite,James Spillane,Bitcoin Price Prediction – Is The Biggest Crash Of All Time Coming?,"The Bitcoin price has risen exponentially since the fourth financial quarter of 2023, up 163% from the start of October… Continue reading Bitcoin Price Prediction – Is The Biggest Crash Of All Time Coming?
The post Bitcoin Price Prediction – Is The Biggest Cr…",https://readwrite.com/bitcoin-price-prediction-is-the-biggest-crash-of-all-time-coming/,https://readwrite.com/wp-content/uploads/2024/03/bitcoin-price-crash.jpg,2024-03-20T16:48:25Z,"The Bitcoin price has risen exponentially since the fourth financial quarter of 2023, up 163% from the start of October last year. 
If the Bitcoin price closes the month of March over $61,157, it wo… [+4836 chars]",ok,13537
,ReadWrite,Sam Shedden,Bitcoin endures biggest daily price drop since FTX crash,"The price of Bitcoin (BTC) dropped drastically on Tuesday (Mar 19), when it registered its biggest single-day loss since the… Continue reading Bitcoin endures biggest daily price drop since FTX crash
The post Bitcoin endures biggest daily price drop since FTX…",https://readwrite.com/bitcoin-endures-biggest-daily-price-drop-since-ftx-crash/,https://readwrite.com/wp-content/uploads/2024/03/Bitcoinfall.png,2024-03-20T10:53:55Z,"The price of Bitcoin (BTC) dropped drastically on Tuesday (Mar 19), when it registered its biggest single-day loss since the infamous collapse of the FTX exchange in November 2022.
According to data… [+2252 chars]",ok,13537
